,k,destRegion,originRegion,migrations,originPop,destPop
1,0,Angola,Angola,0,23369131,23369131
2,0,Angola,NordicCountries,0,32140303,23369131
3,0,Angola,Madagascar,0,21151640,23369131
4,0,Angola,Canada,0,34168668,23369131
5,0,Angola,FrenchEurope,0,74473368,23369131
6,0,Angola,IndianSubcontinent,0,1602003617,23369131
7,0,Angola,Tajikistan,0,7641630,23369131
8,0,Angola,NorthAfrica,0,204310190,23369131
9,0,Angola,RussianAsia,0,55514817,23369131
10,0,Angola,ArabicWestAfrica,0,3609543,23369131
11,0,Angola,SoutheastAsia,0,597327771,23369131
12,0,Angola,ChineseAsia,0,1393132348,23369131
13,0,Angola,EasternEurope,0,294540681,23369131
14,7.52E-08,Angola,FrenchWestAfrica,667.5,304171621,23369131
15,0,Angola,ItalianEurope,0,66998485,23369131
16,0,Angola,BalkanPeninsula,0,29503649,23369131
17,0,Angola,AustrailiaNewZealand,0,26490126,23369131
18,0,Angola,BritishIsles,0,68013843,23369131
19,0,Angola,Somalia,0,12053223,23369131
20,0,Angola,Melanesia,0,8983311,23369131
21,2.48E-07,Angola,MiddleAfrica,903.2,107982268,23369131
22,1.91E-06,Angola,Portugal,951.6,10652321,23369131
23,0,Angola,Spain,0,46788630,23369131
24,0,Angola,SpanishSouthAmerica,0,198483935,23369131
25,0,Angola,CentralAmerica,0,160556595,23369131
26,0,Angola,Caribbean,0,41724731,23369131
27,0,Angola,Korea,0,74144454,23369131
28,0,Angola,Brazil,0,196796269,23369131
29,0,Angola,GermanEurope,0,113855625,23369131
30,0,Angola,Japan,0,128551873,23369131
31,1.43E-09,Angola,EastAfrica,13.2,313782635,23369131
32,0,Angola,TurkishMiddleEast,0,103089615,23369131
33,0,Angola,USA,0,308711621,23369131
34,0,Angola,ArabicMiddleEast,0,129648409,23369131
35,0,Angola,PersianMiddleEast,0,103370678,23369131
36,0,Angola,SouthernAfrica,0,59016093,23369131
37,2.47E-08,ArabicMiddleEast,FrenchWestAfrica,407.4,304171621,129648409
38,0,ArabicMiddleEast,Madagascar,0.4,21151640,129648409
39,1.43E-08,ArabicMiddleEast,Korea,70.4,74144454,129648409
40,1.26E-05,ArabicMiddleEast,NorthAfrica,147109,204310190,129648409
41,8.49E-06,ArabicMiddleEast,Somalia,8698.2,12053223,129648409
42,2.71E-07,ArabicMiddleEast,FrenchEurope,1329.9,74473368,129648409
43,1.01E-07,ArabicMiddleEast,SpanishSouthAmerica,1152.7,198483935,129648409
44,5.27E-10,ArabicMiddleEast,CentralAmerica,5.6,160556595,129648409
45,1.20E-07,ArabicMiddleEast,Canada,300.3,34168668,129648409
46,-4.01E-07,ArabicMiddleEast,RussianAsia,-1526.5,55514817,129648409
47,8.65E-07,ArabicMiddleEast,BritishIsles,3924.1,68013843,129648409
48,2.00E-06,ArabicMiddleEast,SoutheastAsia,58914.3,597327771,129648409
49,2.32E-07,ArabicMiddleEast,EastAfrica,3914.8,313782635,129648409
50,3.39E-07,ArabicMiddleEast,GermanEurope,2398.7,113855625,129648409
51,3.18E-06,ArabicMiddleEast,Tajikistan,2199,7641630,129648409
52,1.12E-06,ArabicMiddleEast,BalkanPeninsula,2483,29503649,129648409
53,5.28E-08,ArabicMiddleEast,SouthernAfrica,212.6,59016093,129648409
54,9.95E-09,ArabicMiddleEast,Japan,78.9,128551873,129648409
55,2.17E-09,ArabicMiddleEast,Portugal,2.8,10652321,129648409
56,5.51E-08,ArabicMiddleEast,ArabicWestAfrica,20.5,3609543,129648409
57,1.34E-06,ArabicMiddleEast,NordicCountries,3181.2,32140303,129648409
58,5.26E-08,ArabicMiddleEast,MiddleAfrica,355.1,107982268,129648409
59,1.34E-09,ArabicMiddleEast,Caribbean,4.6,41724731,129648409
60,6.90E-08,ArabicMiddleEast,Spain,227.5,46788630,129648409
61,2.79E-07,ArabicMiddleEast,USA,4643.3,308711621,129648409
62,1.54E-07,ArabicMiddleEast,AustrailiaNewZealand,311.3,26490126,129648409
63,0,ArabicMiddleEast,Melanesia,0.2,8983311,129648409
64,6.52E-08,ArabicMiddleEast,ItalianEurope,292.9,66998485,129648409
65,0,ArabicMiddleEast,Angola,0,23369131,129648409
66,6.99E-09,ArabicMiddleEast,Brazil,79.3,196796269,129648409
67,3.72E-05,ArabicMiddleEast,ArabicMiddleEast,294064.5,129648409,129648409
68,3.89E-06,ArabicMiddleEast,PersianMiddleEast,25294.6,103370678,129648409
69,3.20E-06,ArabicMiddleEast,EasternEurope,51158.3,294540681,129648409
70,4.64E-06,ArabicMiddleEast,TurkishMiddleEast,30104.2,103089615,129648409
71,1.12E-07,ArabicMiddleEast,ChineseAsia,6835.4,1393132348,129648409
72,6.77E-06,ArabicMiddleEast,IndianSubcontinent,464793.5,1602003617,129648409
73,2.06E-09,ArabicWestAfrica,GermanEurope,4.5,113855625,3609543
74,4.54E-10,ArabicWestAfrica,EasternEurope,2.2,294540681,3609543
75,5.16E-08,ArabicWestAfrica,NorthAfrica,166.3,204310190,3609543
76,0,ArabicWestAfrica,AustrailiaNewZealand,0,26490126,3609543
77,2.97E-09,ArabicWestAfrica,Korea,4.4,74144454,3609543
78,2.39E-08,ArabicWestAfrica,ArabicMiddleEast,52.8,129648409,3609543
79,2.43E-09,ArabicWestAfrica,ItalianEurope,3.6,66998485,3609543
80,0,ArabicWestAfrica,CentralAmerica,0,160556595,3609543
81,7.12E-07,ArabicWestAfrica,FrenchWestAfrica,3226.7,304171621,3609543
82,6.81E-08,ArabicWestAfrica,FrenchEurope,92.1,74473368,3609543
83,4.34E-09,ArabicWestAfrica,Canada,3.3,34168668,3609543
84,0,ArabicWestAfrica,Somalia,0,12053223,3609543
85,1.88E-08,ArabicWestAfrica,MiddleAfrica,35.7,107982268,3609543
86,0,ArabicWestAfrica,SoutheastAsia,0,597327771,3609543
87,5.52E-09,ArabicWestAfrica,Spain,5.4,46788630,3609543
88,0,ArabicWestAfrica,IndianSubcontinent,0.5,1602003617,3609543
89,1.91E-09,ArabicWestAfrica,SpanishSouthAmerica,6.1,198483935,3609543
90,0,ArabicWestAfrica,PersianMiddleEast,0.1,103370678,3609543
91,5.96E-10,ArabicWestAfrica,ChineseAsia,10,1393132348,3609543
92,2.80E-09,ArabicWestAfrica,TurkishMiddleEast,5.4,103089615,3609543
93,0,ArabicWestAfrica,NordicCountries,0.2,32140303,3609543
94,0,ArabicWestAfrica,RussianAsia,0.4,55514817,3609543
95,0,ArabicWestAfrica,BalkanPeninsula,0,29503649,3609543
96,0,ArabicWestAfrica,Caribbean,0.4,41724731,3609543
97,0,ArabicWestAfrica,SouthernAfrica,0,59016093,3609543
98,0,ArabicWestAfrica,Melanesia,0,8983311,3609543
99,3.21E-09,ArabicWestAfrica,Brazil,10.1,196796269,3609543
100,0,ArabicWestAfrica,Portugal,0,10652321,3609543
101,0,ArabicWestAfrica,Madagascar,0,21151640,3609543
102,0,ArabicWestAfrica,ArabicWestAfrica,0,3609543,3609543
103,0,ArabicWestAfrica,Tajikistan,-0.1,7641630,3609543
104,0,ArabicWestAfrica,BritishIsles,0,68013843,3609543
105,0,ArabicWestAfrica,Japan,0,128551873,3609543
106,0,ArabicWestAfrica,EastAfrica,0,313782635,3609543
107,0,ArabicWestAfrica,Angola,0,23369131,3609543
108,1.31E-09,ArabicWestAfrica,USA,6.9,308711621,3609543
109,5.51E-07,AustrailiaNewZealand,Japan,2439.2,128551873,26490126
110,6.56E-08,AustrailiaNewZealand,RussianAsia,141.7,55514817,26490126
111,1.13E-06,AustrailiaNewZealand,Canada,1606.9,34168668,26490126
112,4.88E-08,AustrailiaNewZealand,MiddleAfrica,186.2,107982268,26490126
113,5.11E-07,AustrailiaNewZealand,IndianSubcontinent,19822.8,1602003617,26490126
114,1.76E-08,AustrailiaNewZealand,Angola,18.6,23369131,26490126
115,4.21E-07,AustrailiaNewZealand,EasternEurope,3802,294540681,26490126
116,3.31E-06,AustrailiaNewZealand,SouthernAfrica,7496.3,59016093,26490126
117,3.75E-07,AustrailiaNewZealand,Somalia,217.5,12053223,26490126
118,6.40E-09,AustrailiaNewZealand,Madagascar,6.2,21151640,26490126
119,6.59E-07,AustrailiaNewZealand,PersianMiddleEast,2417.1,103370678,26490126
120,1.74E-06,AustrailiaNewZealand,ItalianEurope,4406.9,66998485,26490126
121,1.11E-07,AustrailiaNewZealand,Brazil,708.2,196796269,26490126
122,4.33E-07,AustrailiaNewZealand,NorthAfrica,2857.9,204310190,26490126
123,8.13E-07,AustrailiaNewZealand,TurkishMiddleEast,2978.4,103089615,26490126
124,6.93E-07,AustrailiaNewZealand,NordicCountries,931.4,32140303,26490126
125,7.61E-08,AustrailiaNewZealand,CentralAmerica,408.8,160556595,26490126
126,1.26E-06,AustrailiaNewZealand,GermanEurope,5026,113855625,26490126
127,2.05E-08,AustrailiaNewZealand,Tajikistan,8.4,7641630,26490126
128,1.75E-06,AustrailiaNewZealand,Korea,4837,74144454,26490126
129,1.12E-06,AustrailiaNewZealand,ArabicMiddleEast,4995.1,129648409,26490126
130,9.23E-06,AustrailiaNewZealand,Melanesia,4143.6,8983311,26490126
131,5.89E-07,AustrailiaNewZealand,ChineseAsia,20248.9,1393132348,26490126
132,3.76E-07,AustrailiaNewZealand,USA,3538,308711621,26490126
133,1.05E-07,AustrailiaNewZealand,Caribbean,176.7,41724731,26490126
134,4.51E-07,AustrailiaNewZealand,FrenchEurope,1248.2,74473368,26490126
135,5.10E-07,AustrailiaNewZealand,EastAfrica,4867.2,313782635,26490126
136,3.28E-07,AustrailiaNewZealand,SpanishSouthAmerica,2111.8,198483935,26490126
137,0,AustrailiaNewZealand,ArabicWestAfrica,0.4,3609543,26490126
138,7.52E-07,AustrailiaNewZealand,Portugal,391,10652321,26490126
139,1.31E-05,AustrailiaNewZealand,AustrailiaNewZealand,14873.8,26490126,26490126
140,1.83E-07,AustrailiaNewZealand,Spain,340.7,46788630,26490126
141,5.25E-06,AustrailiaNewZealand,BalkanPeninsula,6549.6,29503649,26490126
142,9.92E-08,AustrailiaNewZealand,FrenchWestAfrica,921.8,304171621,26490126
143,1.38E-06,AustrailiaNewZealand,SoutheastAsia,22909.8,597327771,26490126
144,9.46E-06,AustrailiaNewZealand,BritishIsles,24224.1,68013843,26490126
145,8.14E-08,BalkanPeninsula,Portugal,44.6,10652321,29503649
146,1.65E-07,BalkanPeninsula,BritishIsles,438.3,68013843,29503649
147,0,BalkanPeninsula,ArabicWestAfrica,0.1,3609543,29503649
148,-3.68E-07,BalkanPeninsula,GermanEurope,-1524.8,113855625,29503649
149,6.93E-09,BalkanPeninsula,Brazil,46.8,196796269,29503649
150,0,BalkanPeninsula,Angola,0.5,23369131,29503649
151,-3.04E-07,BalkanPeninsula,Canada,-448.7,34168668,29503649
152,9.88E-09,BalkanPeninsula,EastAfrica,98.5,313782635,29503649
153,0,BalkanPeninsula,Tajikistan,0.4,7641630,29503649
154,0,BalkanPeninsula,Melanesia,0.8,8983311,29503649
155,1.16E-08,BalkanPeninsula,ChineseAsia,415.1,1393132348,29503649
156,3.37E-08,BalkanPeninsula,Caribbean,59.7,41724731,29503649
157,1.66E-09,BalkanPeninsula,Somalia,1.4,12053223,29503649
158,1.41E-07,BalkanPeninsula,TurkishMiddleEast,538.7,103089615,29503649
159,1.30E-08,BalkanPeninsula,Japan,60.9,128551873,29503649
160,1.29E-08,BalkanPeninsula,SpanishSouthAmerica,86.2,198483935,29503649
161,-1.23E-07,BalkanPeninsula,USA,-1198.4,308711621,29503649
162,7.11E-07,BalkanPeninsula,ArabicMiddleEast,3298.4,129648409,29503649
163,6.31E-09,BalkanPeninsula,MiddleAfrica,25.3,107982268,29503649
164,2.49E-07,BalkanPeninsula,NordicCountries,348.5,32140303,29503649
165,1.03E-09,BalkanPeninsula,Madagascar,1.8,21151640,29503649
166,5.69E-08,BalkanPeninsula,SouthernAfrica,134.2,59016093,29503649
167,1.45E-08,BalkanPeninsula,FrenchWestAfrica,140.4,304171621,29503649
168,3.26E-08,BalkanPeninsula,IndianSubcontinent,1315.5,1602003617,29503649
169,5.02E-07,BalkanPeninsula,Spain,968.6,46788630,29503649
170,1.56E-06,BalkanPeninsula,BalkanPeninsula,2030.7,29503649,29503649
171,5.67E-08,BalkanPeninsula,NorthAfrica,389.2,204310190,29503649
172,6.62E-08,BalkanPeninsula,RussianAsia,148.7,55514817,29503649
173,1.09E-06,BalkanPeninsula,EasternEurope,10217,294540681,29503649
174,1.27E-08,BalkanPeninsula,CentralAmerica,71.3,160556595,29503649
175,1.30E-05,BalkanPeninsula,ItalianEurope,34089.5,66998485,29503649
176,9.20E-08,BalkanPeninsula,PersianMiddleEast,351.7,103370678,29503649
177,3.25E-09,BalkanPeninsula,SoutheastAsia,56.3,597327771,29503649
178,2.55E-08,BalkanPeninsula,Korea,73.7,74144454,29503649
179,-8.24E-08,BalkanPeninsula,FrenchEurope,-237.8,74473368,29503649
180,-3.85E-07,BalkanPeninsula,AustrailiaNewZealand,-455.8,26490126,29503649
181,5.69E-10,Brazil,BritishIsles,3.1,68013843,196796269
182,0,Brazil,PersianMiddleEast,0,103370678,196796269
183,1.23E-09,Brazil,FrenchEurope,7.3,74473368,196796269
184,-6.67E-09,Brazil,EasternEurope,-124.3,294540681,196796269
185,0,Brazil,Melanesia,0,8983311,196796269
186,1.47E-10,Brazil,NorthAfrica,2.6,204310190,196796269
187,-2.88E-09,Brazil,ItalianEurope,-15.8,66998485,196796269
188,1.75E-08,Brazil,BalkanPeninsula,45.8,29503649,196796269
189,0,Brazil,IndianSubcontinent,0.7,1602003617,196796269
190,1.90E-09,Brazil,Angola,4.8,23369131,196796269
191,0,Brazil,Caribbean,0.9,41724731,196796269
192,1.49E-07,Brazil,Portugal,159.4,10652321,196796269
193,0,Brazil,MiddleAfrica,0,107982268,196796269
194,1.99E-08,Brazil,Tajikistan,16.9,7641630,196796269
195,9.90E-11,Brazil,ChineseAsia,7.7,1393132348,196796269
196,0,Brazil,Canada,0.8,34168668,196796269
197,2.72E-09,Brazil,ArabicMiddleEast,25.5,129648409,196796269
198,5.89E-09,Brazil,SpanishSouthAmerica,78.1,198483935,196796269
199,3.61E-09,Brazil,NordicCountries,10.2,32140303,196796269
200,0,Brazil,ArabicWestAfrica,0,3609543,196796269
201,0,Brazil,SouthernAfrica,0,59016093,196796269
202,4.13E-10,Brazil,USA,8,308711621,196796269
203,0,Brazil,TurkishMiddleEast,0.5,103089615,196796269
204,9.06E-11,Brazil,CentralAmerica,1.9,160556595,196796269
205,0,Brazil,Madagascar,0,21151640,196796269
206,2.56E-09,Brazil,GermanEurope,21.8,113855625,196796269
207,0,Brazil,AustrailiaNewZealand,0.4,26490126,196796269
208,0,Brazil,Somalia,0,12053223,196796269
209,8.37E-09,Brazil,Spain,32.6,46788630,196796269
210,0,Brazil,FrenchWestAfrica,0,304171621,196796269
211,5.82E-09,Brazil,Japan,53,128551873,196796269
212,1.06E-09,Brazil,Korea,6.5,74144454,196796269
213,0,Brazil,Brazil,0,196796269,196796269
214,0,Brazil,SoutheastAsia,0,597327771,196796269
215,5.09E-11,Brazil,EastAfrica,1,313782635,196796269
216,1.60E-08,Brazil,RussianAsia,71.2,55514817,196796269
217,8.10E-07,BritishIsles,IndianSubcontinent,44065.6,1602003617,68013843
218,8.51E-08,BritishIsles,RussianAsia,257.5,55514817,68013843
219,2.23E-06,BritishIsles,TurkishMiddleEast,11448,103089615,68013843
220,2.74E-08,BritishIsles,Korea,106.7,74144454,68013843
221,2.31E-07,BritishIsles,Canada,460.8,34168668,68013843
222,1.20E-05,BritishIsles,NordicCountries,22684.5,32140303,68013843
223,1.01E-06,BritishIsles,PersianMiddleEast,5188,103370678,68013843
224,5.10E-06,BritishIsles,EasternEurope,64715.4,294540681,68013843
225,5.22E-07,BritishIsles,Spain,1360.5,46788630,68013843
226,6.04E-07,BritishIsles,Brazil,5414.5,196796269,68013843
227,1.16E-06,BritishIsles,ArabicMiddleEast,7276.2,129648409,68013843
228,1.05E-06,BritishIsles,EastAfrica,13996.7,313782635,68013843
229,3.10E-06,BritishIsles,Caribbean,7312.8,41724731,68013843
230,8.47E-08,BritishIsles,SpanishSouthAmerica,765.6,198483935,68013843
231,9.80E-08,BritishIsles,GermanEurope,549.7,113855625,68013843
232,3.64E-07,BritishIsles,AustrailiaNewZealand,582.4,26490126,68013843
233,-3.58E-07,BritishIsles,ArabicWestAfrica,-103.1,3609543,68013843
234,-1.48E-06,BritishIsles,Angola,-2121.1,23369131,68013843
235,9.80E-07,BritishIsles,SoutheastAsia,22838.4,597327771,68013843
236,1.18E-06,BritishIsles,FrenchWestAfrica,15364.2,304171621,68013843
237,1.39E-07,BritishIsles,MiddleAfrica,746.6,107982268,68013843
238,2.87E-06,BritishIsles,SouthernAfrica,9120.5,59016093,68013843
239,3.76E-06,BritishIsles,BalkanPeninsula,6590.8,29503649,68013843
240,-8.64E-08,BritishIsles,NorthAfrica,-800,204310190,68013843
241,-4.27E-07,BritishIsles,Japan,-2654.2,128551873,68013843
242,-1.23E-06,BritishIsles,BritishIsles,-4415.7,68013843,68013843
243,8.08E-07,BritishIsles,FrenchEurope,3140.3,74473368,68013843
244,1.14E-05,BritishIsles,Somalia,9294.1,12053223,68013843
245,1.05E-06,BritishIsles,Melanesia,660.3,8983311,68013843
246,1.13E-05,BritishIsles,Portugal,8258.4,10652321,68013843
247,7.33E-09,BritishIsles,ItalianEurope,27,66998485,68013843
248,1.63E-07,BritishIsles,CentralAmerica,1225.6,160556595,68013843
249,-2.31E-06,BritishIsles,Madagascar,-3041.6,21151640,68013843
250,2.73E-08,BritishIsles,Tajikistan,15.9,7641630,68013843
251,2.64E-07,BritishIsles,USA,3485.9,308711621,68013843
252,-5.85E-08,BritishIsles,ChineseAsia,-2823.1,1393132348,68013843
253,1.71E-06,Canada,BalkanPeninsula,2340.8,29503649,34168668
254,4.61E-07,Canada,Somalia,292,12053223,34168668
255,7.76E-07,Canada,IndianSubcontinent,32959,1602003617,34168668
256,1.75E-06,Canada,ItalianEurope,4839.7,66998485,34168668
257,4.48E-08,Canada,Madagascar,46.8,21151640,34168668
258,4.47E-07,Canada,SouthernAfrica,1110.8,59016093,34168668
259,4.04E-06,Canada,Caribbean,7455.4,41724731,34168668
260,4.13E-06,Canada,Portugal,2351,10652321,34168668
261,3.47E-07,Canada,EastAfrica,3629,313782635,34168668
262,2.59E-07,Canada,NordicCountries,382.5,32140303,34168668
263,1.78E-08,Canada,ArabicWestAfrica,4.4,3609543,34168668
264,1.35E-06,Canada,PersianMiddleEast,5434.2,103370678,34168668
265,1.29E-06,Canada,Melanesia,636.5,8983311,34168668
266,6.25E-07,Canada,CentralAmerica,3669.8,160556595,34168668
267,9.91E-08,Canada,Angola,111.6,23369131,34168668
268,2.04E-07,Canada,USA,2106.9,308711621,34168668
269,1.18E-06,Canada,EasternEurope,11720.2,294540681,34168668
270,1.17E-06,Canada,ArabicMiddleEast,5700.9,129648409,34168668
271,7.49E-07,Canada,GermanEurope,3273.7,113855625,34168668
272,4.59E-07,Canada,Canada,713,34168668,34168668
273,-2.47E-08,Canada,Japan,-120.7,128551873,34168668
274,5.95E-07,Canada,ChineseAsia,22419.9,1393132348,34168668
275,2.58E-07,Canada,RussianAsia,607.5,55514817,34168668
276,1.13E-06,Canada,Korea,3404,74144454,34168668
277,1.24E-07,Canada,Tajikistan,53,7641630,34168668
278,1.01E-06,Canada,SoutheastAsia,18336.1,597327771,34168668
279,6.06E-08,Canada,Brazil,424.2,196796269,34168668
280,5.68E-07,Canada,FrenchEurope,1722.7,74473368,34168668
281,8.29E-07,Canada,NorthAfrica,5991.6,204310190,34168668
282,2.44E-06,Canada,BritishIsles,6837.9,68013843,34168668
283,1.90E-07,Canada,FrenchWestAfrica,1937.6,304171621,34168668
284,5.23E-07,Canada,TurkishMiddleEast,2097.2,103089615,34168668
285,1.98E-07,Canada,MiddleAfrica,826.9,107982268,34168668
286,2.30E-07,Canada,AustrailiaNewZealand,287.6,26490126,34168668
287,1.20E-06,Canada,SpanishSouthAmerica,8461.8,198483935,34168668
288,7.32E-08,Canada,Spain,149.9,46788630,34168668
289,7.04E-09,Caribbean,ArabicMiddleEast,37.8,129648409,41724731
290,1.89E-09,Caribbean,Melanesia,1.1,8983311,41724731
291,6.75E-08,Caribbean,ItalianEurope,201.4,66998485,41724731
292,6.44E-10,Caribbean,NorthAfrica,5.9,204310190,41724731
293,5.56E-08,Caribbean,GermanEurope,261.6,113855625,41724731
294,-2.64E-07,Caribbean,USA,-2926.7,308711621,41724731
295,7.12E-09,Caribbean,SouthernAfrica,19.2,59016093,41724731
296,9.88E-10,Caribbean,ChineseAsia,40.3,1393132348,41724731
297,7.48E-09,Caribbean,Japan,39.7,128551873,41724731
298,2.05E-09,Caribbean,SoutheastAsia,40,597327771,41724731
299,1.64E-08,Caribbean,AustrailiaNewZealand,22.6,26490126,41724731
300,0,Caribbean,Angola,0.8,23369131,41724731
301,3.68E-09,Caribbean,FrenchEurope,12.9,74473368,41724731
302,1.65E-09,Caribbean,FrenchWestAfrica,18.9,304171621,41724731
303,0,Caribbean,Somalia,0.1,12053223,41724731
304,0,Caribbean,MiddleAfrica,0.4,107982268,41724731
305,3.44E-06,Caribbean,Caribbean,6817.5,41724731,41724731
306,9.28E-10,Caribbean,TurkishMiddleEast,4.8,103089615,41724731
307,3.27E-09,Caribbean,Portugal,2.9,10652321,41724731
308,0,Caribbean,ArabicWestAfrica,0,3609543,41724731
309,0,Caribbean,Madagascar,0.5,21151640,41724731
310,7.67E-10,Caribbean,IndianSubcontinent,35.1,1602003617,41724731
311,0,Caribbean,RussianAsia,0.1,55514817,41724731
312,1.24E-07,Caribbean,BritishIsles,373.4,68013843,41724731
313,6.80E-10,Caribbean,BalkanPeninsula,1.9,29503649,41724731
314,1.37E-07,Caribbean,Canada,229.9,34168668,41724731
315,1.92E-07,Caribbean,SpanishSouthAmerica,1455.2,198483935,41724731
316,5.32E-09,Caribbean,Brazil,40.8,196796269,41724731
317,1.16E-09,Caribbean,PersianMiddleEast,5.8,103370678,41724731
318,4.62E-09,Caribbean,Korea,15.9,74144454,41724731
319,1.13E-09,Caribbean,EasternEurope,12.4,294540681,41724731
320,1.78E-09,Caribbean,EastAfrica,20.1,313782635,41724731
321,7.91E-08,Caribbean,CentralAmerica,499.8,160556595,41724731
