,region,X2000,X2005,X2010,X2015,X2020,X2025,X2030,X2035,X2040,X2045,X2050,X2055,X2060,X2065
1,Angola,48.221,46.666,43.599,41.01,39.019,37.227,35.535,33.641,31.746,29.951,28.355,26.758,25.461,24.164
2,ArabicMiddleEast,25.88640182,24.4649502,22.90441905,20.60482068,18.77497994,17.25093732,16.16815009,15.30146031,14.54897739,13.77714673,13.00311535,12.28860419,11.69344302,11.27914105
3,ArabicWestAfrica,37.688,36.596,35.407,33.414,31.419,29.725,28.229,26.933,25.737,24.541,23.345,22.249,21.352,20.455
4,AustrailiaNewZealand,13.02949741,13.98145717,13.36098779,12.84455849,12.27679386,11.59152529,11.17492883,11.02862185,11.08267692,11.1382625,10.95395064,10.75468523,10.55623272,10.35685118
5,BalkanPeninsula,10.61290367,10.48544501,9.787940189,9.297352171,8.956660849,8.723014193,8.605463853,8.568504889,8.602076084,8.529411692,8.467182023,8.41668669,8.488854693,8.56963584
6,Brazil,18.666,16.176,14.982,13.785,12.687,11.688,10.89,10.291,9.892,9.493,9.193,8.994,8.794,8.695
7,BritishIsles,11.62571495,12.80762809,12.58456315,12.17556019,11.69576139,11.0974959,10.74625946,10.87449879,10.97628073,10.94171051,10.70666722,10.49266455,10.30725188,10.32252185
8,Canada,10.494,11.094,10.895,10.495,10.196,9.896,9.497,9.497,9.597,9.798,9.798,9.798,9.698,9.698
9,Caribbean,19.69376091,18.54338029,17.56834293,16.53351912,15.47303376,14.48885689,13.62446633,12.89993135,12.31850573,11.82049569,11.36405414,10.97314253,10.58666091,10.31941732
10,CentralAmerica,24.17554099,21.70782944,20.17452033,18.46695486,16.88381035,15.4678263,14.21137604,13.23762339,12.38767217,11.71770737,11.15699649,10.62313625,10.25019864,9.895062709
11,ChineseAsia,12.43311496,12.51013458,12.53650843,11.56566701,10.28974841,9.495992927,9.186681204,9.074348187,9.168720258,9.079529403,8.897498814,8.708333235,8.611221198,8.703963796
12,EastAfrica,41.43220954,39.3272554,36.79967782,34.46807073,32.31926441,30.34578755,28.54253617,26.77912697,25.15347231,23.61402221,22.23383773,20.97270432,19.82155179,18.80469204
13,EasternEurope,9.434934454,10.81615373,11.6178089,11.11136758,10.30736882,9.446359558,9.187923321,9.665702704,10.36834187,10.63737183,10.35943897,9.980621299,9.803299445,9.999220815
14,FrenchEurope,12.45548544,12.52702035,11.98704538,11.65024111,11.33659358,11.2061055,11.16058806,11.1589023,11.01918886,10.85168186,10.76838659,10.73945357,10.72361008,10.72264752
15,FrenchWestAfrica,42.45978013,41.27797453,39.7065408,37.4303057,35.41992666,33.67195183,32.0846947,30.41253085,28.79108235,27.12120172,25.59824188,24.12189163,22.855607,21.66369253
16,GermanEurope,9.42690853,8.986536053,8.99131805,9.310866329,9.363160184,9.144925643,8.771118915,8.544677661,8.52601557,8.774676147,8.961551351,9.114484348,9.099376404,8.932609317
17,IndianSubcontinent,25.77567701,23.54006386,20.96721802,19.56423136,18.18434097,16.83715055,15.61018802,14.56427178,13.66735351,13.01188979,12.41297796,11.84725429,11.40706702,11.00335256
18,ItalianEurope,9.63932884,9.646266866,8.809233531,8.400771713,8.18586556,8.237191904,8.280369879,8.424677265,8.416890263,8.417640091,8.406125528,8.486237095,8.659657201,8.833878381
19,Japan,8.896,8.697,8.397,8.097,7.798,7.698,7.798,7.898,7.999,8.099,8.099,8.099,8.199,8.399
20,Korea,12.53790419,11.09572988,10.580891,10.5227282,10.36319718,10.1358307,9.606842171,8.846562083,8.521027188,8.598484238,8.807216612,9.010161747,9.044108797,8.945118871
21,Madagascar,39.413,36.433,34.046,32.756,31.366,29.672,27.777,26.181,24.784,23.587,22.388,21.29,20.191,19.092
22,Melanesia,31.57263515,29.84456373,27.68776258,26.08046556,24.71934137,23.52463787,22.43149063,21.31919546,20.20529705,19.24716443,18.38489747,17.54095126,16.78261492,16.11978752
23,MiddleAfrica,44.3829283,43.73983217,42.09879295,39.54136416,37.14524229,35.01098301,32.95497357,30.84384121,28.66688108,26.67000398,24.86305805,23.21828813,21.75772105,20.39749538
24,NordicCountries,10.86125579,11.5090821,11.1801103,11.35397602,11.3117052,10.97420177,10.61330009,10.59143355,10.65702007,10.75507529,10.76599541,10.67254249,10.46838875,10.38721181
25,NorthAfrica,25.10121787,25.42423711,27.0281799,24.18305503,21.76056487,20.08578307,19.29016062,18.81923986,18.13281898,17.27637981,16.29458156,15.49497192,14.91549495,14.43271658
26,PersianMiddleEast,24.58379548,24.43807423,23.18068032,20.55145243,17.56681267,15.52953218,14.606097,14.29453918,13.79950088,12.97684356,11.93324998,11.07803066,10.62610857,10.42417426
27,Portugal,10.794,9.696,8.496,7.498,7.098,7.199,7.399,7.499,7.399,7.199,7.099,7.199,7.499,7.799
28,RussianAsia,19.88515002,22.34696044,23.26474706,20.85552897,18.03041679,16.02525152,15.33323679,15.20671416,14.96064382,14.22524895,13.25943811,12.42220436,11.9830191,11.78105655
29,Somalia,47.339,46.053,44.269,42.785,40.898,38.81,36.621,34.431,32.539,30.746,28.953,27.258,25.562,24.166
30,SoutheastAsia,21.39624991,20.29217795,19.19456733,17.82950149,16.69027591,15.60363779,14.70998465,14.06445054,13.50537256,13.01480516,12.52750922,12.08563062,11.73331838,11.45539254
31,SouthernAfrica,24.44461252,23.52303219,22.76537291,21.23647506,19.66529565,18.29616978,17.15534325,16.40815552,15.66587585,14.9209946,14.17660915,13.51837034,12.96736082,12.53406082
32,Spain,10.195,10.696,9.397,8.497,7.898,7.598,7.798,8.098,8.299,8.199,7.999,7.899,7.999,8.299
33,SpanishSouthAmerica,21.18940703,19.74008464,18.46814942,17.21229075,15.9788552,14.9452484,14.03211017,13.27666091,12.63482732,12.07000271,11.57789709,11.11679904,10.74087649,10.45378211
34,Tajikistan,28.417,29.437,30.151,27.857,24.863,22.368,21.272,20.875,20.178,18.781,17.283,16.084,15.386,14.887
35,TurkishMiddleEast,24.37331989,23.28237277,22.40793704,21.05235324,19.88071851,19.07236674,18.42787334,17.94208499,17.39760022,16.82918186,16.28848804,15.81523345,15.46126793,15.07637342
36,USA,13.98851258,13.78866456,12.49015792,12.69129088,12.69243242,12.49257239,12.09374458,11.79389045,11.59501365,11.49511921,11.59519172,11.49629006,11.39637901,11.19647044