"","region","X2000","X2005","X2010","X2015","X2020","X2025","X2030","X2035","X2040","X2045","X2050","X2055","X2060","X2065"
"1","Angola",15.56,11.879,9.195,8.311,7.623,7.033,6.642,6.25,6.055,5.861,5.766,5.77,5.773,5.875
"2","ArabicMiddleEast",5.4028529087845,5.0661129278999,5.05110790347609,4.87530660477446,4.76291377097624,4.93448828475113,5.26482961924891,5.72319742889922,6.23291909269473,6.81513304876862,7.39519379445913,7.9811550682588,8.53157449099727,9.06806649792875
"3","ArabicWestAfrica",9.204,8.749,8.081,7.696,7.411,7.224,7.234,7.244,7.352,7.458,7.664,7.768,7.972,8.175
"4","AustrailiaNewZealand",6.75040144265372,6.61860080938669,6.63591242812511,6.7360879489076,6.768917835011,7.06859037241745,7.4003336314791,7.91487104098027,8.25918193387988,8.57288152593666,8.69974605606178,8.71110865164654,8.67958334884172,8.74923164247457
"5","BalkanPeninsula",9.81912520240818,10.2695502299275,10.6999121546626,11.2667506525342,11.532449299866,11.7818256662547,12.1849616627649,12.7225640600895,13.3341781021455,13.8404392216175,14.2395334624891,14.6317862791128,14.9780063328414,15.1215306466694
"6","Brazil",5.89,5.89,5.891,6.292,6.694,7.094,7.695,8.296,8.896,9.596,10.197,10.997,11.697,12.397
"7","BritishIsles",10.0034052129067,9.1870089556701,8.7937244034424,8.82447297484421,8.93051196859771,9.04946550546379,9.26870003092796,9.67489259527384,9.98741239202399,10.200409078158,10.4210420428102,10.6349085505126,10.5708826624882,10.4007340236247
"8","Canada",7.192,7.192,7.293,7.494,7.795,8.095,8.696,9.396,10.097,10.497,10.697,10.498,10.198,9.998
"9","Caribbean",7.74093859660818,7.50251072353305,7.49193323094162,7.61829116033852,7.85256396739207,8.19838947529936,8.56576292908611,9.02664815802074,9.55242634628,10.2017403215434,10.8069101251647,11.3754027309512,11.86601073228,12.2164615713936
"10","CentralAmerica",4.79998873187248,4.74962178138631,4.86522111752557,4.93829795946084,5.10017639288207,5.35055677441087,5.61395496634289,6.04461330264887,6.49072243613655,7.0293475752294,7.65720265787981,8.30038523922556,8.95050762896034,9.62869354390271
"11","ChineseAsia",6.28557264345156,6.4898350818355,6.98766676697755,7.48923024579212,8.08731409924061,8.98028642911589,9.97307925844396,11.0701481778991,12.1724286873173,13.17710909349,13.9791807824963,14.4793881772053,14.7771278097321,14.8781610369924
"12","EastAfrica",13.2837280511542,10.3888897992639,8.2827183431231,7.19752408501727,6.57106612712939,6.05051853102787,5.65441801515832,5.40996390826516,5.30165329013525,5.25055180119232,5.29582473323283,5.45516724925009,5.63423626633002,5.88801884451417
"13","EasternEurope",14.3448626089178,13.9430902743106,12.9052906330552,13.1680202159836,13.3340527565457,13.5331428621449,13.9698545505156,14.5001897869097,14.8343028701941,14.9095432354244,14.7890970758374,14.748286845246,14.8567011125382,14.9371592460273
"14","FrenchEurope",9.16795884893024,8.76865926697833,8.93333358212026,9.10270951847315,9.2568860005675,9.40985592223617,9.69279321826665,10.1763618681259,10.6756215452741,11.0065016599609,11.039420142625,11.0419698622866,10.8425170861829,10.6431083973463
"15","FrenchWestAfrica",15.6821471189186,13.5259238180693,11.9367581286257,10.5161017259056,9.39047315311116,8.48181509982412,7.77219660517664,7.19113109515434,6.76035576097639,6.5047465027541,6.37263322370834,6.28106183115925,6.28748573003295,6.39680704960988
"16","GermanEurope",9.88438048784618,9.83823215234361,10.2068030050514,10.5530577986483,10.9096612610872,11.1500347688914,11.3914174766912,11.7137120387517,12.2995962908962,12.9466470485882,13.5018777526036,13.6214443711064,13.1206953048394,12.5899003715517
"17","IndianSubcontinent",8.13990254998542,7.57865107159381,7.09759215692083,7.13721521957205,7.19907040970794,7.43505670595285,7.79629725897623,8.16879881117137,8.57236840906374,9.05066402558101,9.62429813461944,10.1427024359656,10.742462856459,11.3359798121371
"18","ItalianEurope",9.63399056794406,9.69896093818887,10.1868951577189,10.6076626822022,11.1065043991201,11.499661775719,11.9950596911067,12.5057331994154,13.0170924441541,13.6968945628049,14.3596690300741,14.8336031294068,14.8625042311817,14.3528693042202
"19","Japan",7.851,8.763,9.872,10.777,11.681,12.584,13.286,13.989,14.191,14.192,14.093,14.393,14.994,15.195
"20","Korea",6.22237588663204,6.40570375020258,6.49109675732456,7.03296392590539,7.67406272944565,8.37970085542719,9.18370890530882,10.1512613810764,11.2171968200569,12.3792302879916,13.335533663195,13.9857249538818,14.1361543508068,14.1553154129387
"21","Madagascar",9.063,7.795,6.815,6.026,5.533,5.14,4.945,4.849,4.852,4.856,4.959,5.163,5.366,5.568
"22","Melanesia",7.54261819619382,7.06453375593141,6.92692107397818,6.87763393173364,6.91064570242523,6.94910134957778,7.07169323224522,7.27793862375515,7.48795112612578,7.78891070513518,7.98892858360442,8.28113077882177,8.56964742240162,8.94244756270688
"23","MiddleAfrica",14.8468821497828,12.8494299633818,11.195504253578,9.84070851958668,8.67962865264622,7.80765541895937,7.09493776623084,6.5211896621641,6.12846001005114,5.84903369162199,5.64888125454664,5.57424823698393,5.650713594859,5.77106128226044
"24","NordicCountries",10.7589231428091,10.5357944990456,10.0497963388522,10.025556070006,10.0275986557228,10.1755011494044,10.5434611705508,10.8867178995825,11.0029774672414,10.9927057775272,10.9680995638958,10.8958342541768,10.7587110084249,10.5318886169295
"25","NorthAfrica",6.48089431367394,6.17583827007774,5.96504855506228,5.74870730195351,5.69175377396306,5.77835243537837,6.00111964133268,6.25567860623879,6.5995482403515,6.88648182642486,7.22387882695906,7.5675147246013,7.92331873512874,8.26560515616376
"26","PersianMiddleEast",6.43289760863391,6.07041957378084,5.46155312285946,5.08113664238305,5.02541130070378,5.18639393854999,5.62193544652679,6.13161936317054,6.71961394650911,7.42730530672477,8.21925756410541,9.15256913230587,10.2643680561655,11.2987373903561
"27","Portugal",10.183,9.785,10.288,10.79,11.191,11.592,12.193,12.793,13.493,14.194,14.894,15.594,15.994,16.094
"28","RussianAsia",7.9029680435567,7.65034202614688,6.92070671527207,6.88817114981736,6.89079028002058,7.17275476625224,7.6470675535808,8.15234642026038,8.71049308778791,9.17244339767247,9.56434704908523,9.95878583743713,10.4107235695009,10.8481969316755
"29","Somalia",14.735,13.458,12.178,10.896,9.71,8.724,7.935,7.244,6.753,6.359,6.065,5.969,5.972,5.975
"30","SoutheastAsia",6.80267989482358,6.69612153891261,6.72647097559775,6.8603482883529,7.16672255615023,7.53896997770232,8.05689966822242,8.65625976934272,9.26683078417429,9.82511666455199,10.3303878255481,10.7739445783362,11.1270660335835,11.4771720266222
"31","SouthernAfrica",13.3691948163105,14.0976654066195,10.9883694069175,9.33330297031492,9.18925909136179,9.22220490603509,9.26229021789188,9.31570471688327,9.37625515244181,9.54206009183044,9.64651961897059,9.86215294149378,10.00928947423,10.3401198798323
"32","Spain",8.786,8.488,8.59,9.091,9.592,9.993,10.394,10.995,11.895,12.796,13.796,14.796,15.397,15.497
"33","SpanishSouthAmerica",6.1524893115246,6.11453951934488,6.18537966200136,6.30925332663056,6.5123620657819,6.73785975288417,7.08457028962548,7.46183170411832,7.91585666487259,8.35385686224041,8.80484821849443,9.24594009353047,9.70085419591311,10.1764106724
"34","Tajikistan",6.324,5.635,5.244,5.049,4.953,5.058,5.261,5.565,5.868,6.171,6.474,6.677,7.079,7.381
"35","TurkishMiddleEast",6.02747319302246,5.86439735798167,5.64469153656263,5.51078859586824,5.565198409054,5.6292746964654,5.78217656853553,6.08401882058256,6.42672200015624,6.79253481542462,7.14112615421995,7.47786773545899,7.84019235630313,8.08313945509911
"36","USA",8.46488965217391,8.1690239359812,8.17214046514303,8.37421241650812,8.47628531395821,8.77729435719062,9.17928810744545,9.58128621131193,9.98228992638481,10.1843336784959,10.1854115803541,9.98651461743512,9.78760783318276,9.68867642441954
